,,,,,,,,,,,,,,,,,,
🌯 DÖNER - BEWERTUNGSLOG,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#,Döner-Spot,Stadt,Gericht,Datum,Preis (€),Ø Fleisch,Ø Gemüse,Ø Soße,Ø Brot,Ø Balance,Ø Auswahl,Ø Portion,Ø Hygiene,Ø Service,Kommentar,Gesamtnote,Sterne,P/L-Index
,,,,,Gewichtung,"18,2%","14,5%","14,5%","14,5%","10,9%","9,1%","9,1%","5,5%","3,6%",,(max. 100 %),,(Note / Preis)
,,,,,,,,,,,,,,,,,,
3,Rüyam,Berlin,Gemüse-Döner,28.02.2026,"7,40 €","8,9","9,4","9,3","9,4","9,3","9,3","9,5","8,8",9,"Döner wurde mitgenommen und nicht ein mal frisch verzehrt. 
Was für eine herausragende Leistung. Wow. ","92,10%",★★★★★,"12,40%"
,,,,,,,,,,,,,,,,,,
5,Bosporus Döner & Pizzeria,Dresden,Steak-Döner,21.03.2026,"9,00 €","8,6","8,5","8,4","8,8","8,2","8,5","8,9","8,5","8,7","Gute portion aber geschmacklich nicht ganz harmonisch.
Den normalen Döner würde ich hier bevorzugen. On God.","85,70%",★★★★☆,"9,50%"
,,,,,,,,,,,,,,,,,,
7,Kebab & Smash,Gamisch-Partenkirchen,Döner,06.04.2026,"8,50 €","7,6","7,2","6,1","7,2","6,3","7,2","7,8","8,3","8,6","Bei google eine 4,9 aber vermutlich wurde da was erkauft.
Insgesamt eine trockene Angelegenheit.
Service war jedoch nett und es gab Çay for free.","73,70%",★★★★☆,"8,70%"
,,,,,,,,,,,,,,,,,,
9,Sendlinger Spezial,München,Steak-Döner,11.04.2026,"10,50 €","9,1","8,6","8,4","9,2","8,4","8,3","9,4","8,8",8,"Es ist tatsächlich eher ein ""Sandwich"".
Mir fehlte wie immer das eingelegtes Gemüse. Vielleicht hab ich falsch bestellt.","86,90%",★★★★☆,"8,30%"
,,,,,,,,,,,,,,,,,,
11,Royal Pizza,Dresden,Döner,18.04.2026,"7,50 €","8,3","9,3","8,6","8,6","8,2","7,5","8,6","8,6","8,8","Überraschend gut. Sogar mit Basilikum garniert. 
In total eine solide Performance. ","85,00%",★★★★☆,"11,30%"
12,,,,,,,,,,,,,,,,,,
13,Taksim Steak Kebab Haus,Dresden,Döner,24.04.2026,"7,00 €","8,7","8,6","8,4","8,4","9,4","8,2","8,4","8,7",9,"Hervorragende Balance - bis zum Ende noch Gemüse im Brot.
Brot war für meinen Geschmack etwas zu crunchy und dry.","86,40%",★★★★☆,"12,30%"
,,,,,,,,,,,,,,,,,,
15,Med Dürüm,Dresden,Döner,26.07.2025,"7,50 €","8,6","9,3","9,4","9,8","8,3","8,5","9,2","9,2","9,4","Bestes selbstgebackenes Brot in ganz Dresden. 
Absoluter all-time favorite in DD - Mir egal was die Planet-Bistro Anhänger sagen","90,80%",★★★★★,"12,10%"
,,,,,,,,,,,,,,,,,,
