,,,,,,,,,,,,,,,,,,
🌯 DÖNER – GESAMTÜBERSICHT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#,Döner-Spot,Stadt,Maps,Gericht,Besuche,Ø Fleisch,Ø Gemüse,Ø Soße,Ø Brot,Ø Balance,Ø Auswahl,Ø Portion,Ø Hygiene,Ø Service,Ø Gesamtnote,Ø Sterne,Rang,Ø P/L-Index
,,,,,Gewichtung,"18,2%","14,5%","14,5%","14,5%","10,9%","9,1%","9,1%","5,5%","3,6%",,,,(Note / Preis)
2,Rüyam,Berlin,Link,Gemüse-Döner,1,"8,9","9,4","9,3","9,4","9,3","9,3","9,5","8,8","9,0","92,10%",★★★★★,1,"12,40%"
3,Med Dürüm,Dresden,Link,Döner,1,"8,6","9,3","9,4","9,8","8,3","8,5","9,2","9,2","9,4","90,80%",★★★★★,2,"12,10%"
4,Hugoo Gemüse Döner,Leipzig,Link,Gemüse-Döner,1,"8,7","9,7","9,2","9,2","9,7","8,9","8,2","8,7","8,7","90,00%",★★★★★,4,"13,80%"
5,Yaprak Döner by Istanbul Market,Dresden,Link,Steak-Döner,1,"9,4","8,6","8,4","8,3","8,7","8,5","8,9","8,7","9,4","87,70%",★★★★☆,5,"8,40%"
6,HUGOO DÖNER,Dresden,Link,Döner,1,"8,8","9,1","8,9","8,8","8,6","8,8","8,5","8,7","8,5","87,40%",★★★★☆,6,"12,50%"
7,Sendlinger Spezial,München,Link,Steak-Döner,1,"9,1","8,6","8,4","9,2","8,4","8,3","9,4","8,8","8,0","86,90%",★★★★☆,7,"8,30%"
8,Taksim Steak Kebab Haus,Dresden,Link,Döner,1,"8,7","8,6","8,4","8,4","9,4","8,2","8,4","8,7","9,0","86,40%",★★★★☆,8,"12,30%"
9,Bosporus Döner & Pizzeria,Dresden,Link,Steak-Döner,1,"8,6","8,5","8,4","8,8","8,2","8,5","8,9","8,5","8,7","85,70%",★★★★☆,9,"9,50%"
10,Zagros Gemüsekebap,Berlin,Link,Gemüse-Döner,1,"8,8","8,7","8,6","8,5","8,1","8,2","8,8","8,9","8,5","85,70%",★★★★☆,9,"12,20%"
11,Royal Pizza,Dresden,Link,Döner,1,"8,3","9,3","8,6","8,6","8,2","7,5","8,6","8,6","8,8","85,00%",★★★★☆,11,"11,30%"
12,Welat Döner,Dresden,Link,Döner,1,"8,3","8,8","8,2","8,2","8,7","8,3","8,7","8,6","8,5","84,80%",★★★★☆,12,"12,10%"
13,Mudi's Gemüse Döner,Wolfsburg,Link,Gemüse-Döner,1,"7,9","7,7","8,2","8,5","7,8","8,2","8,9","8,5","8,3","82,20%",★★★★☆,13,"12,60%"
14,Kebab & Smash,Gamisch-Partenkirchen,Link,Döner,1,"7,6","7,2","6,1","7,2","6,3","7,2","7,8","8,3","8,6","73,70%",★★★★☆,14,"8,70%"
15,Planet Bistro,Dresden,Link,Döner,1,"9,1","9,4","8,9","8,7","8,8","9,3","9,0","9,3","8,7","90,20%",★★★★★,3,"13,90%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
💡  Spot-Namen im Bewertungslog und hier IDENTISCH schreiben – dann aggregiert die Tabelle automatisch.,,,,,,,,,,,,,,,,,,
